sku_id,receipt_date
avocado,
butter,
cheese-shredded,
chicken-thigh,
chorizo,
cocoa-powder,
coffee-beans-house,
egg,
garlic,
lemon,
milk-fresh,
milo-powder,
nutella,
oil-vegetable,
onion,
peanut-butter,
pork-minced,
potato,
rice-japanese,
rice-thai,
salmon,
salmon-smoked,
sausage-chorizo,
shrimp-white,
spaghetti,
tomato,
tomato-cherry,
tuna-canned,
tuna-fresh,
vinegar,
